date,temperature,humidity,luminosity
2022-11-17 15:25:21.925,25.0,12.0,56
2022-11-17 15:25:20.282,25.0,12.0,56
2022-11-17 15:25:18.639,25.0,12.5,55
2022-11-17 15:25:16.996,25.0,12.7,54
2022-11-17 15:25:15.352,25.0,12.8,53
2022-11-17 15:25:13.708,25.0,12.8,54
2022-11-17 15:25:12.065,25.0,13.2,54
2022-11-17 15:25:10.422,25.0,13.3,54
2022-11-17 15:25:08.778,25.0,13.6,54
2022-11-17 15:25:07.135,25.0,13.7,54
2022-11-17 15:25:05.492,25.0,13.9,54
2022-11-17 15:24:35.968,25.0,13.3,55
2022-11-17 15:24:34.325,25.0,13.1,55
2022-11-17 15:24:32.682,25.0,13.1,55
2022-11-17 15:24:31.039,25.0,13.1,55
2022-11-17 15:24:29.395,25.0,13.1,55
2022-11-17 15:24:27.752,25.0,12.9,55
2022-11-17 15:24:26.109,25.0,12.8,56
2022-11-17 15:24:24.466,25.0,12.6,55
2022-11-17 15:24:22.823,25.0,12.3,55
2022-11-17 15:24:21.180,25.0,12.3,55
2022-11-17 15:24:19.537,25.0,11.8,55
2022-11-17 15:24:17.893,25.0,11.3,54
2022-11-17 15:24:16.250,25.0,10.9,55
2022-11-17 15:24:14.606,25.1,10.8,55
2022-11-17 15:24:12.963,25.1,10.9,55
2022-11-17 15:24:11.321,25.0,10.6,55
2022-11-17 15:24:09.677,25.0,10.9,54
2022-11-17 15:24:08.033,25.0,10.8,55
2022-11-17 15:24:06.389,25.0,10.7,55
2022-11-17 15:24:04.746,25.0,10.6,55
2022-11-17 15:24:03.103,25.0,10.6,55
2022-11-17 15:24:01.460,25.0,10.8,55
2022-11-17 15:23:59.817,25.0,10.7,54
2022-11-17 15:23:58.173,25.0,10.6,54
2022-11-17 15:23:56.530,25.1,10.8,54
2022-11-17 15:23:54.886,25.0,10.7,54
2022-11-17 15:23:53.242,25.0,10.7,54
2022-11-17 15:23:51.597,25.0,10.6,55
2022-11-17 15:23:49.955,25.0,10.9,55
2022-11-17 15:23:48.311,25.0,10.8,55
2022-11-17 15:23:46.670,25.0,10.6,54
2022-11-17 15:23:45.027,25.0,10.8,54
2022-11-17 15:23:43.384,25.1,10.7,55
2022-11-17 15:23:41.742,25.0,10.7,55
2022-11-17 15:23:40.099,25.0,10.8,56
2022-11-17 15:23:38.456,25.0,10.8,56
2022-11-17 15:23:36.813,25.0,10.8,56
2022-11-17 15:23:35.170,25.0,10.8,55
2022-11-17 15:23:33.527,25.0,10.8,55
2022-11-17 15:23:31.885,25.0,10.7,55
2022-11-17 15:23:30.242,25.0,10.8,55
2022-11-17 15:23:28.600,25.0,11.0,55
2022-11-17 15:23:26.958,25.0,10.8,55
2022-11-17 15:23:25.316,25.0,10.8,55
2022-11-17 15:23:23.673,25.0,10.7,55
2022-11-17 15:23:22.030,25.0,10.9,55
2022-11-17 15:23:20.387,25.0,10.9,55
2022-11-17 15:23:18.744,25.0,10.9,56
2022-11-17 15:23:17.101,25.0,10.8,56
